"taxon","(Intercept).x","qval","treatment","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","Genus","species","label","direction"
"43544",5.76718216753717e-13,1,"control",4.11899202221653,0.130998501599465,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43544",NA,"No change"
"43541",0.0571910388820022,1,"control",4.32908610121644,0.89172485603029,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43541",NA,"No change"
"43542",1,1,"control",0.582305938644077,-2.56546864741451,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43542",NA,"No change"
"63211",1.67944052482344e-73,1,"control",6.5065751553791,0.078995459598608,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB63211",NA,"No change"
"102200",1,1,"control",1.16174217335222,-0.723345196096306,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB102200",NA,"No change"
"43546",0.0550188548356601,1,"control",4.01186977465728,-1.83412717254127,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43546",NA,"No change"
"43526",1,1,"control",0.0315796556404582,1.60261048416679,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43526",NA,"No change"
"43521",0,1,"control",9.58517861200882,-0.341917482131771,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","LKT_f__Oscillospiraceae","LKT_f__Oscillospiraceae",NA,"No change"
"43496",1,1,"control",-1.30432794554565,0.893810851256652,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillibacter","s__Oscillibacter_SGB43496",NA,"No change"
"43504",8.47072238111522e-90,1,"control",6.37808619444815,-1.93053860751636,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_bacterium",NA,"No change"
"63230",1,1,"control",-1.28357155584813,-0.0993533740133909,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB63230",NA,"No change"
"43502",5.18001489216628e-26,1,"control",5.71557319417194,-2.00074651701472,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43502",NA,"No change"
"43505",0.660691401829757,1,"control",-1.85446899039415,0.396990326102206,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43505",NA,"No change"
"59899",1,1,"control",-0.258234395464314,0.527271402521336,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriales_unclassified","g__Eubacteriales_unclassified","s__Clostridiales_bacterium",NA,"No change"
"43257",0.543836738684362,1,"control",3.00373633856491,-3.16354552271758,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Neglectibacter","s__Neglectibacter_sp_X4",NA,"No change"
