"taxon","(Intercept).x","qval","treatment","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","Genus","species","label","direction"
"43075",1.78558384000264e-45,1,"metro+doxil",4.4328710612776,0.563196819909662,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridiaceae_unclassified","s__Clostridiaceae_bacterium",NA,"No change"
"43539",1,1,"metro+doxil",0.70315075888599,1.82917192673707,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43539",NA,"No change"
"43544",1,1,"metro+doxil",-1.2623701320363,0.323180257446538,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43544",NA,"No change"
"43541",2.50001453977767e-18,0.844258986065925,"metro+doxil",3.62748450251729,-3.68650556636921,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43541",NA,"No change"
"43542",1,1,"metro+doxil",-2.25804787646197,-2.86086724506178,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43542",NA,"No change"
"63211",1.01365840560063e-21,0.442831319305513,"metro+doxil",4.06964800187603,1.42257524407374,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB63211",NA,"No change"
"102200",0.144015406136114,1,"metro+doxil",2.20175864773044,1.36979986267552,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB102200",NA,"No change"
"43546",1,0.0142123105863813,"metro+doxil",1.15235618749605,-5.1327922699121,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43546"," Bacteria unclassified SGB43546","Before"
"43526",0.63683593969553,1,"metro+doxil",-3.46192357569214,1.40838230073523,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43526",NA,"No change"
"43521",6.31025870142418e-93,1,"metro+doxil",7.60051330953838,0.860613814443142,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","LKT_f__Oscillospiraceae","LKT_f__Oscillospiraceae",NA,"No change"
"43496",0.000109306956608239,0.385324380178252,"metro+doxil",4.81428339263312,-5.64629398162565,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillibacter","s__Oscillibacter_SGB43496",NA,"No change"
"94989",1,1,"metro+doxil",-2.94137457099727,0.998909823351995,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB94989",NA,"No change"
"43504",3.48421003898573e-23,1,"metro+doxil",5.65829370735895,0.176134043241808,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_bacterium",NA,"No change"
"63230",0.221340266231509,1,"metro+doxil",-3.10323557314333,-2.01567954838042,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB63230",NA,"No change"
"43502",2.91784383489454e-06,1,"metro+doxil",4.33677043309123,-2.23382572331331,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43502",NA,"No change"
"43505",1,1,"metro+doxil",-0.941560518590638,0.453235290113304,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43505",NA,"No change"
"59899",1,0.200115439382924,"metro+doxil",0.889911043259422,-6.00882616478317,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriales_unclassified","g__Eubacteriales_unclassified","s__Clostridiales_bacterium",NA,"No change"
"43257",1,1,"metro+doxil",-1.99154726765923,0.136189135883176,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Neglectibacter","s__Neglectibacter_sp_X4",NA,"No change"
