clade	ac351	ac352	ac353	ac354	ac355	ac356	ad363	ad364	ad365	ad366	ad367	ad368	am357	am358	am359	am360	am361	am362	amd782	amd783	amd784	amd785	amd786	amd787	bc351	bc352	bc353	bc354	bc355	bc356	bd363	bd364	bd365	bd366	bd367	bd368	bm357	bm358	bm359	bm360	bm361	bm362	bmd782	bmd783	bmd784	bmd785	bmd786	bmd787
k__Bacteria|p__Firmicutes|c__CFGB9512	0	5019	1969	1444	0	17	9743	13425	4374	14405	480	2596	0	0	887	0	1731	1469	597	3377	0	1491	0	0	538	0	0	1494	228	15046	5059	3691	997	0	0	5621	13261	4052	0	0	191	929	6961	2634	7258	69	125	227
k__Bacteria|p__Firmicutes|c__CFGB9617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4756	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9622	20792	645	1096	3302	0	0	5712	2056	7865	847	1301	289	1755	677	1469	0	2263	4546	1749	5359	0	7840	5370	4821	6091	1430	2365	1394	1871	0	441	0	265	750	707	12470	0	24247	18307	3462	995	0	522	1250	237	3489	2488	4556
k__Bacteria|p__Firmicutes|c__CFGB9629	0	0	1660	7406	407	0	21576	18884	18676	21047	2946	3005	0	3995	31276	32449	0	0	1905	2305	0	26115	13902	3848	9281	55260	55	217	0	1022	11868	8606	0	2313	0	32569	0	77203	107317	20333	11445	0	15464	33734	0	19225	0	277
k__Bacteria|p__Firmicutes|c__CFGB9633	0	0	0	226	0	0	0	3211	0	0	0	0	0	0	0	0	3233	0	0	0	0	0	0	0	2406	0	915	0	0	0	0	3423	194	0	201	4338	0	15002	1613	0	0	0	7759	10618	16073	0	19733	28620
k__Bacteria|p__Firmicutes|c__CFGB9639	7999	14216	45618	2531	0	0	15963	25156	18884	26943	27053	37896	0	5285	35808	0	9906	1146	29328	10724	640	45952	16033	22292	13860	12581	8165	7848	0	0	20194	531	0	2826	25371	39936	0	27250	10125	2465	1928	769	5099	4360	0	7912	2371	3159
k__Bacteria|p__Firmicutes|c__CFGB9656	4421	0	4902	0	0	0	0	0	0	0	0	0	0	6409	40348	5596	0	0	0	0	0	90029	57288	0	117079	60199	0	0	0	0	0	0	0	0	0	0	0	387333	35481	19142	28320	0	0	0	0	23672	0	0
k__Bacteria|p__Firmicutes|c__CFGB9658	0	0	0	0	0	0	328	35348	0	0	0	0	0	0	0	0	0	0	0	2480	0	0	145	0	0	327	0	0	0	0	0	0	0	0	0	0	0	6668	3215	0	0	0	0	178	0	0	125	0
k__Bacteria|p__Firmicutes|c__CFGB9659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1632	0	0	0	0	376	2195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42550	10178	0	0	0	0	963	0	0	0	0	0	0	0	0	0	1154	4695	0	0	9664	0	0	0	541	2044	5785	2569	18838	13498
