clade	ac351	ac352	ac353	ac354	ac355	ac356	ad363	ad364	ad365	ad366	ad367	ad368	am357	am358	am359	am360	am361	am362	amd782	amd783	amd784	amd785	amd786	amd787	bc351	bc352	bc353	bc354	bc355	bc356	bd363	bd364	bd365	bd366	bd367	bd368	bm357	bm358	bm359	bm360	bm361	bm362	bmd782	bmd783	bmd784	bmd785	bmd786	bmd787
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197|o__OFGB10197|f__FGB10197|g__GGB31109|s__GGB31109_SGB44380|t__SGB44380	0	0	0	0	0	0	7753	555	1071	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	289	0	0	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197|o__OFGB10197|f__FGB10197|g__GGB31110|s__GGB31110_SGB44381|t__SGB44381	0	0	0	0	0	0	4510	1154	2551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB27476|s__GGB27476_SGB39769|t__SGB39769	0	0	547	3336	0	0	118	0	485	0	0	0	0	0	0	0	1720	1898	835	911	111	77	743	39	0	0	0	116	212	1407	642	0	127	0	0	0	0	766	0	0	0	0	0	0	0	1471	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB27480|s__GGB27480_SGB39776|t__SGB39776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB47462|s__GGB47462_SGB65425|t__SGB65425	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB73364|s__GGB73364_SGB102608|t__SGB102608	3402	461	2140	2516	0	830	4169	3543	1108	7290	899	720	985	6433	5803	13808	863	1992	6679	12329	2111	12004	9375	5032	0	0	5184	3127	3753	2167	2346	1194	189	631	635	291	451	1662	490	660	661	1176	4293	2348	0	1793	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB75725|s__GGB75725_SGB102612|t__SGB102612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1087	697	417	0	0	0	281	809	175	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	12	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB75727|s__GGB75727_SGB102613|t__SGB102613	0	0	194	0	0	0	1372	0	467	200	30	333	70	0	0	41	0	0	0	200	0	31	11248	9008	0	899	1943	0	564	0	0	0	0	0	0	190	0	0	0	0	0	505	0	0	0	1457	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_halotolerans|t__SGB24956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728	2517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_lentus|t__SGB7817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus|s__Aerococcus_urinaeequi|t__SGB7897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii|t__SGB7041	115454	164200	53445	45970	9214	2494	19670	14999	9512	9835	14174	130916	13505	2817	11005	60868	465139	428619	124813	26890	9146	449066	773178	1064615	1790	29396	52636	15315	6609	12506	131385	15437	19044	10523	26581	18278	2803	2422	0	5750	2929	12619	15369	23077	18961	186614	163673	39545
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_murinus|t__SGB7077	19802	33343	29448	14197	1828	100	2140	1950	7740	9493	5218	3694	17789	4866	23830	15350	15645	52747	5492	5947	2547	14324	30818	18296	0	0	38217	5314	7039	1518	23994	5631	5005	5420	15912	15768	11161	8810	2331	5437	5200	6131	10493	11499	0	44829	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri|t__SGB7095	9766	16545	5424	5915	350	3331	7189	2186	369	1309	935	12490	1921	0	189	6558	15923	98976	10611	4346	1309	17535	42660	39910	0	0	0	1183	7287	9655	8490	3366	553	0	3412	3137	0	0	0	0	0	374	2030	1729	0	11563	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_danieliae|t__SGB82603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	783	4375	413	40	0	607	463	439	0	0	0	0	0	0	0	0	0	0	1747	69	0	0	0	0	0	0	0	0	0	1509	0	0
k__Bacteria|p__Firmicutes|c__CFGB10213|o__OFGB10213|f__FGB10213|g__GGB31179|s__GGB31179_SGB44472|t__SGB44472	0	0	0	0	0	0	0	0	0	0	0	0	1731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10289|o__OFGB10289|f__FGB10289|g__GGB31762|s__GGB31762_SGB45125|t__SGB45125	0	0	0	0	0	0	203	612	0	926	0	0	11224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	1595	76	416	0	89	0	0	976	0	0	0	0	0	13	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10290|o__OFGB10290|f__FGB10290|g__GGB31438|s__GGB31438_SGB44768|t__SGB44768	0	0	0	2098	0	0	3304	3159	0	914	12148	6810	2082	1951	3127	10061	0	2835	3156	0	4387	30007	26212	14515	13280	18	1244	760	207	2284	3160	3068	382	0	2079	0	141	817	1105	0	2190	0	4136	3631	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB31439|s__GGB31439_SGB44769|t__SGB44769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1212	0
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB47127|s__GGB47127_SGB65053|t__SGB65053	0	227	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB47127|s__GGB47127_SGB65054|t__SGB65054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
k__Bacteria|p__Firmicutes|c__CFGB10349|o__OFGB10349|f__FGB10349|g__GGB31853|s__GGB31853_SGB45233|t__SGB45233	0	0	0	0	0	0	1638	60	1486	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10667|o__OFGB10667|f__FGB10667|g__GGB32371|s__GGB32371_SGB41694|t__SGB41694	0	0	0	0	0	0	3249	2681	0	683	7803	2137	1789	0	916	0	0	0	4804	6145	5791	3535	56201	8019	0	0	0	0	0	0	658	0	0	0	0	4856	0	0	0	0	0	0	0	0	5486	0	14349	15048
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31793|s__GGB31793_SGB45163|t__SGB45163	0	0	0	0	0	0	0	0	0	0	0	0	710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31823|s__GGB31823_SGB45199|t__SGB45199	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3586	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4322	0	84	0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31838|s__GGB31838_SGB45216|t__SGB45216	0	4375	0	1082	0	4712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2189	5414	8997	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31841|s__GGB31841_SGB65084|t__SGB65084	990	0	0	0	1270	2107	0	0	0	0	0	0	142975	41471	6393	286	0	0	0	0	0	0	0	0	1847	0	2635	2134	0	44523	0	0	0	0	0	0	0	0	0	0	4053	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2833|o__OFGB2833|f__FGB2833|g__GGB28456|s__GGB28456_SGB41039|t__SGB41039	0	0	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	87
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28399|s__GGB28399_SGB40980|t__SGB40980	0	0	0	0	0	0	0	0	0	0	8958	0	0	0	0	0	0	0	0	4590	8122	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	674
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28401|s__GGB28401_SGB40983|t__SGB40983	0	407	2225	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1241	0	0	0	0	0	0	3087	0	115	4092	0	0	0	0	0	0	3594	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28404|s__GGB28404_SGB40986|t__SGB40986	1534	0	0	2003	0	0	10497	453	0	11004	5884	1720	0	0	0	0	0	0	0	0	0	0	0	0	1662	1904	0	1776	1988	2203	679	0	0	3137	0	6394	0	4953	1304	1843	1229	687	0	0	0	2806	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28407|s__GGB28407_SGB40989|t__SGB40989	0	1534	0	23165	143258	0	133401	207384	105674	104771	73333	18854	0	0	0	11075	54587	70436	14415	220739	126848	37044	120447	65208	29363	90922	32832	9479	0	8020	17391	43918	44217	28786	76702	63705	0	236258	15342	16488	10412	19275	129539	44360	0	19636	27128	62178
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28409|s__GGB28409_SGB40991|t__SGB40991	0	234	9212	2592	0	0	5865	5746	2315	5467	3072	1787	0	0	639	0	1921	2304	0	1245	1234	0	0	2512	0	0	3273	4220	1792	3683	276	693	2729	734	5990	1641	1826	399	0	0	272	1543	513	114	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28416|s__GGB28416_SGB40998|t__SGB40998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2281	0	0	0	0	0	1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1375	2350	0	219	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28418|s__GGB28418_SGB41000|t__SGB41000	1833	3820	2446	1844	0	0	436	156	378	607	728	31	0	0	5830	0	0	0	32	0	0	0	0	0	0	0	17369	2191	0	0	0	173	0	192	430	226	483	1571	1517	510	753	1761	603	522	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28418|s__GGB28418_SGB41001|t__SGB41001	0	3360	0	0	0	522	1690	8040	1227	7086	0	4537	0	0	0	0	0	0	0	0	0	0	0	0	424	1092	0	139	4454	2288	1169	649	1085	0	0	0	0	1560	0	0	0	439	0	0	2691	0	550	1651
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28419|s__GGB28419_SGB41002|t__SGB41002	89	2475	60062	16017	6138	0	23846	59113	0	0	0	0	2452	0	0	349	521	1495	0	0	0	2988	96	368	33328	10169	26651	12274	8143	1823	0	0	0	0	2307	0	7410	0	0	0	0	3057	840	838	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28420|s__GGB28420_SGB41003|t__SGB41003	0	0	0	241	0	0	0	0	0	1517	391	2538	90	418	7939	5706	875	0	4617	11980	5116	736	0	0	0	0	0	0	268	0	0	0	0	0	0	9016	0	374	6457	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28422|s__GGB28422_SGB41005|t__SGB41005	0	0	0	741	0	0	0	0	0	3562	0	0	511	0	0	0	0	159	1469	550	387	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB28439|o__OFGB28439|f__FGB28439|g__GGB28439|s__GGB28439_SGB41022|t__SGB41022	0	99	512	99	527	0	1881	0	2346	526	2408	135	0	0	0	0	0	0	0	0	0	0	0	0	3303	6787	0	345	0	0	0	0	664	608	79	4702	49	36886	0	205	627	99	0	0	3575	4386	1438	3099
k__Bacteria|p__Firmicutes|c__CFGB28439|o__OFGB28439|f__FGB28439|g__GGB42327|s__GGB42327_SGB59495|t__SGB59495	0	0	4395	0	0	0	1510	4877	0	2841	2094	283	0	0	0	0	0	0	0	0	0	0	0	0	2110	361	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2846|o__OFGB2846|f__FGB2846|g__GGB75314|s__GGB75314_SGB102498|t__SGB102498	841	0	3648	0	0	0	0	0	38	0	92	0	0	0	0	0	0	274	0	0	0	0	0	0	1330	1280	838	0	0	0	0	0	0	0	0	0	0	3966	197	0	840	0	0	0	187	164	0	0
k__Bacteria|p__Firmicutes|c__CFGB2873|o__OFGB2873|f__FGB2873|g__GGB28387|s__GGB28387_SGB40967|t__SGB40967	5124	7013	30096	7956	1820	0	13335	28251	2362	12984	1475	6504	1423	2662	308	626	3751	27425	12692	22155	2223	0	1866	0	0	0	1622	36	723	6795	2772	294	1440	1135	622	233	4441	0	0	0	0	1921	2126	384	15367	0	14409	12640
k__Bacteria|p__Firmicutes|c__CFGB30328|o__OFGB30328|f__FGB30328|g__GGB30413|s__GGB30413_SGB43452|t__SGB43452	0	0	0	3487	0	0	0	0	47226	28256	105875	22251	0	0	0	41735	41280	11499	140294	234655	220	74574	150834	136415	0	0	0	0	0	0	8144	4119	37677	6390	5296	0	0	36122	0	1380	9059	3986	14249	17337	58365	0	51089	26862
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057|f__FGB3057|g__GGB75074|s__GGB75074_SGB102167|t__SGB102167	8990	49915	1618	16935	61460	6873	27139	15834	48130	18835	9641	633	0	0	0	0	0	0	0	0	0	0	0	0	48947	53331	0	36332	22555	6768	23697	2881	113547	4246	1487	88530	0	79736	57756	49941	50718	4326	5397	9158	40121	9020	29025	9825
k__Bacteria|p__Firmicutes|c__CFGB40333|o__OFGB40333|f__FGB40333|g__GGB42696|s__GGB42696_SGB59900|t__SGB59900	4690	7036	10347	10346	2245	8341	8198	3921	0	0	10740	4774	0	2969	0	0	0	0	3783	8077	4391	0	0	0	0	0	5578	9225	10333	7383	13476	1992	0	0	6951	0	6128	0	0	0	0	427	3301	3105	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB5209|o__OFGB5209|f__FGB5209|g__GGB30140|s__GGB30140_SGB43065|t__SGB43065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4881	0	0	0	10813	0	14199
k__Bacteria|p__Firmicutes|c__CFGB72709|o__OFGB72709|f__FGB72709|g__GGB30300|s__GGB30300_SGB43264|t__SGB43264	0	0	0	0	0	0	5813	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	1058	0	644	14003	0	0	0	0	3139	0	0	0	0	5715	0	1775	0	0	0	0	0	0	718	0	723	0
k__Bacteria|p__Firmicutes|c__CFGB72896|o__OFGB72896|f__FGB72896|g__GGB75927|s__GGB75927_SGB102412|t__SGB102412	0	0	0	0	0	0	0	0	0	1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721|f__FGB75721|g__GGB45564|s__GGB45564_SGB63259|t__SGB63259	48829	8579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	37637	0	34395	14345
k__Bacteria|p__Firmicutes|c__CFGB77250|o__OFGB77250|f__FGB77250|g__GGB30408|s__GGB30408_SGB43438|t__SGB43438	14919	16172	75310	7487	33655	5412	24278	18833	4813	43489	31161	4136	0	0	0	0	5209	2010	0	543	0	1587	0	0	78743	20948	19634	11775	71797	9517	6637	1424	0	947	2461	20213	0	17823	33309	0	680	8847	3247	6888	11179	2587	1238	3658
k__Bacteria|p__Firmicutes|c__CFGB77250|o__OFGB77250|f__FGB77250|g__GGB30414|s__GGB30414_SGB43453|t__SGB43453	1315	0	16141	1831	6065	0	1039	4146	3276	9261	0	0	0	1354	963	84	806	5316	0	0	14186	0	2098	2218	2115	251	1511	0	4420	281	0	0	0	165	0	8088	0	4757	3791	0	499	0	881	559	427	0	0	1747
k__Bacteria|p__Firmicutes|c__CFGB77305|o__OFGB77305|f__FGB77305|g__GGB28828|s__GGB28828_SGB41484|t__SGB41484	0	0	0	1502	2945	0	31997	106652	12659	3913	1995	1328	0	0	0	0	0	0	0	0	0	29798	0	0	0	0	0	0	0	1951	2981	2597	0	0	3026	8657	0	91077	18130	1879	11533	0	12737	13516	0	18600	499	0
k__Bacteria|p__Firmicutes|c__CFGB77306|o__OFGB77306|f__FGB77306|g__GGB20146|s__GGB20146_SGB29427|t__SGB29427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10264	2651	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2950	0	0	0	0	0	4094	0
k__Bacteria|p__Firmicutes|c__CFGB77306|o__OFGB77306|f__FGB77306|g__GGB25052|s__GGB25052_SGB36974|t__SGB36974	15365	0	0	2101	12358	187	11399	23387	737	0	0	0	0	0	0	941	0	0	608	0	0	0	0	0	11305	22661	0	2052	6476	0	8370	0	0	0	0	13558	0	22351	12067	2424	4755	0	2000	1995	0	6974	346	0
k__Bacteria|p__Firmicutes|c__CFGB78137|o__OFGB78137|f__FGB78137|g__GGB29550|s__GGB29550_SGB42344|t__SGB42344	153944	11522	0	33361	14220	8256	65037	57009	144669	3613	0	0	21136	2661	36718	0	0	0	49157	90308	58925	102861	203750	66983	11826	0	28850	29606	26100	13500	30366	2725	46748	6093	0	0	10976	0	0	0	0	3581	0	3972	57835	0	138842	116053
k__Bacteria|p__Firmicutes|c__CFGB78857|o__OFGB78857|f__FGB78857|g__GGB28930|s__GGB28930_SGB41631|t__SGB41631	15874	31582	73076	460	136	1805	15714	23714	37520	2211	0	0	0	0	0	0	0	0	0	0	0	22909	0	0	32367	0	4424	4072	807	7116	140	0	0	0	0	0	0	35663	47293	5351	13141	0	0	0	7813	6995	0	206
k__Bacteria|p__Firmicutes|c__CFGB79257|o__OFGB79257|f__FGB79257|g__GGB47144|s__GGB47144_SGB65073|t__SGB65073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB8118|o__OFGB8118|f__FGB8118|g__GGB29005|s__GGB29005_SGB41723|t__SGB41723	0	0	0	0	0	0	0	0	0	0	0	0	0	59630	318022	41980	3767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338516	387166	19837	0	0	0	0	0	34314	0	0
k__Bacteria|p__Firmicutes|c__CFGB8118|o__OFGB8118|f__FGB8118|g__GGB29006|s__GGB29006_SGB41724|t__SGB41724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9507|o__OFGB9507|f__FGB9507|g__GGB28380|s__GGB28380_SGB40960|t__SGB40960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12151	2247	5830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9508|o__OFGB9508|f__FGB9508|g__GGB28382|s__GGB28382_SGB40962|t__SGB40962	2441	6941	24551	1614	0	0	65392	38899	7797	0	1609	0	0	0	0	0	3458	14639	0	0	0	1366	5119	1711	0	0	0	0	0	332	19920	23267	9051	5536	12476	0	13151	3323	0	0	2831	1554	24599	6624	1527	10166	0	2444
k__Bacteria|p__Firmicutes|c__CFGB9508|o__OFGB9508|f__FGB9508|g__GGB28383|s__GGB28383_SGB40963|t__SGB40963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7238	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9508|o__OFGB9508|f__FGB9508|g__GGB28384|s__GGB28384_SGB40964|t__SGB40964	0	3423	2354	4818	553	586	0	0	0	9178	6013	6591	604	0	1418	0	0	0	20677	26035	25399	0	0	0	0	0	9631	11077	6439	14505	0	0	0	0	0	10079	237	0	0	0	0	351	406	313	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512|f__FGB9512|g__GGB28392|s__GGB28392_SGB40972|t__SGB40972	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	0	0	0	0	0	203	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	125	227
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512|f__FGB9512|g__GGB28394|s__GGB28394_SGB40975|t__SGB40975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1084	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512|f__FGB9512|g__GGB42342|s__GGB42342_SGB59510|t__SGB59510	0	0	0	597	0	0	9743	13425	4374	13327	480	2596	0	0	0	0	1731	1469	597	3174	0	1150	0	0	0	0	0	0	0	12994	5059	3691	997	0	0	5602	13261	0	0	0	0	929	6961	2634	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9512|o__OFGB9512|f__FGB9512|g__GGB42343|s__GGB42343_SGB59511|t__SGB59511	0	5019	1969	847	0	17	0	0	0	0	0	0	0	0	887	0	0	0	0	0	0	0	0	0	538	0	0	1494	228	2052	0	0	0	0	0	0	0	4052	0	0	191	0	0	0	5394	69	0	0
k__Bacteria|p__Firmicutes|c__CFGB9617|o__OFGB9617|f__FGB9617|g__GGB28776|s__GGB28776_SGB41429|t__SGB41429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4756	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9622|o__OFGB9622|f__FGB9622|g__GGB28810|s__GGB28810_SGB41465|t__SGB41465	20792	645	1096	3302	0	0	5712	2056	7865	847	1301	289	1755	677	1469	0	2263	4546	1749	5359	0	7840	5370	4821	6091	1430	2365	1394	1871	0	441	0	265	750	707	12470	0	24247	18307	3462	995	0	522	1250	237	3489	2488	4556
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629|f__FGB9629|g__GGB28839|s__GGB28839_SGB41503|t__SGB41503	0	0	1660	7324	407	0	21438	18884	18676	18825	2946	3005	0	1896	21115	31982	0	0	0	0	0	21633	13902	3194	9281	55260	0	0	0	1022	11565	8606	0	2313	0	32235	0	72709	105306	20333	11445	0	15464	33734	0	19225	0	0
k__Bacteria|p__Firmicutes|c__CFGB9629|o__OFGB9629|f__FGB9629|g__GGB28840|s__GGB28840_SGB102297|t__SGB102297	0	0	0	82	0	0	138	0	0	2222	0	0	0	2099	10161	467	0	0	1905	2305	0	4482	0	654	0	0	55	217	0	0	303	0	0	0	0	334	0	4494	2011	0	0	0	0	0	0	0	0	277
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633|f__FGB9633|g__GGB28881|s__GGB28881_SGB41561|t__SGB41561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	915	0	0	0	0	0	0	0	0	0	0	15002	1613	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633|f__FGB9633|g__GGB28883|s__GGB28883_SGB41564|t__SGB41564	0	0	0	226	0	0	0	3211	0	0	0	0	0	0	0	0	3233	0	0	0	0	0	0	0	2406	0	0	0	0	0	0	3423	194	0	201	4338	0	0	0	0	0	0	7759	10618	16073	0	19733	28620
k__Bacteria|p__Firmicutes|c__CFGB9639|o__OFGB9639|f__FGB9639|g__GGB28934|s__GGB28934_SGB41635|t__SGB41635	7999	14216	45618	2531	0	0	15963	25156	18884	26943	27053	37896	0	5285	35808	0	9906	1146	29328	10724	640	28191	16033	18778	13860	12581	8165	7848	0	0	20194	531	0	2826	25371	39936	0	27250	10125	2465	1928	769	5099	4360	0	7912	0	0
